Country Code,Series Name,2015 [YR2015]
GTM,Merchandise exports (current US$),10677000000
GTM,Commercial service exports (current US$),3114974820
GIN,Imports of goods and services (% of GDP),50.94585499
GIN,Exports of goods and services (% of GDP),21.49687039
GIN,Trade (% of GDP),72.44272538
GIN,Merchandise exports (current US$),1781000000
GIN,Commercial service exports (current US$),78448486.59
GNB,Imports of goods and services (% of GDP),29.32366363
GNB,Exports of goods and services (% of GDP),25.04671196
GNB,Trade (% of GDP),54.37037559
GNB,Merchandise exports (current US$),252000000
GNB,Commercial service exports (current US$),34285259.76
GUY,Imports of goods and services (% of GDP),
GUY,Exports of goods and services (% of GDP),
GUY,Trade (% of GDP),
GUY,Merchandise exports (current US$),1151000000
GUY,Commercial service exports (current US$),144839382.8
HTI,Imports of goods and services (% of GDP),30.17799113
HTI,Exports of goods and services (% of GDP),11.76774698
HTI,Trade (% of GDP),41.94573812
HTI,Merchandise exports (current US$),882000000
HTI,Commercial service exports (current US$),676609513.5
HND,Imports of goods and services (% of GDP),62.0976479
HND,Exports of goods and services (% of GDP),45.16675746
HND,Trade (% of GDP),107.2644054
HND,Merchandise exports (current US$),8226000000
HND,Commercial service exports (current US$),2896890422
HKG,Imports of goods and services (% of GDP),193.5083476
HKG,Exports of goods and services (% of GDP),195.8976016
HKG,Trade (% of GDP),389.4059493
HKG,Merchandise exports (current US$),5.10E+11
HKG,Commercial service exports (current US$),1.04E+11
HUN,Imports of goods and services (% of GDP),79.7939941
HUN,Exports of goods and services (% of GDP),87.52645093
HUN,Trade (% of GDP),167.320445
HUN,Merchandise exports (current US$),98524000000
HUN,Commercial service exports (current US$),22369516100
ISL,Imports of goods and services (% of GDP),44.16648646
ISL,Exports of goods and services (% of GDP),51.65172145
ISL,Trade (% of GDP),95.81820791
ISL,Merchandise exports (current US$),4732000000
ISL,Commercial service exports (current US$),4346537634
IND,Imports of goods and services (% of GDP),22.10972471
IND,Exports of goods and services (% of GDP),19.81318916
IND,Trade (% of GDP),41.92291387
IND,Merchandise exports (current US$),2.68E+11
IND,Commercial service exports (current US$),1.56E+11
IDN,Imports of goods and services (% of GDP),20.77746098
IDN,Exports of goods and services (% of GDP),21.16017926
IDN,Trade (% of GDP),41.93764024
IDN,Merchandise exports (current US$),1.50E+11
IDN,Commercial service exports (current US$),21589041175
IRN,Imports of goods and services (% of GDP),20.70175415
IRN,Exports of goods and services (% of GDP),18.72083451
IRN,Trade (% of GDP),39.42258866
IRN,Merchandise exports (current US$),70275000000
IRN,Commercial service exports (current US$),
IRQ,Imports of goods and services (% of GDP),35.07762216
IRQ,Exports of goods and services (% of GDP),34.51414644
IRQ,Trade (% of GDP),69.5917686
IRQ,Merchandise exports (current US$),57577000000
IRQ,Commercial service exports (current US$),4915200000
IRL,Imports of goods and services (% of GDP),93.14569536
IRL,Exports of goods and services (% of GDP),121.8502384
IRL,Trade (% of GDP),214.9959338
IRL,Merchandise exports (current US$),1.23E+11
IRL,Commercial service exports (current US$),1.33E+11
IMN,Imports of goods and services (% of GDP),
IMN,Exports of goods and services (% of GDP),
IMN,Trade (% of GDP),
IMN,Merchandise exports (current US$),
IMN,Commercial service exports (current US$),
ISR,Imports of goods and services (% of GDP),28.04105109
ISR,Exports of goods and services (% of GDP),31.17124903
ISR,Trade (% of GDP),59.21230011
ISR,Merchandise exports (current US$),64063000000
ISR,Commercial service exports (current US$),37330000000
ITA,Imports of goods and services (% of GDP),26.70219379
ITA,Exports of goods and services (% of GDP),29.71598237
ITA,Trade (% of GDP),56.41817616
ITA,Merchandise exports (current US$),4.57E+11
ITA,Commercial service exports (current US$),97431410437
JAM,Imports of goods and services (% of GDP),46.19585618
JAM,Exports of goods and services (% of GDP),29.92166548
JAM,Trade (% of GDP),76.11752166
JAM,Merchandise exports (current US$),1263000000
JAM,Commercial service exports (current US$),3027358978
JPN,Imports of goods and services (% of GDP),17.99064852
JPN,Exports of goods and services (% of GDP),17.43675984
JPN,Trade (% of GDP),35.42740835
JPN,Merchandise exports (current US$),6.25E+11
JPN,Commercial service exports (current US$),1.58E+11
JOR,Imports of goods and services (% of GDP),58.8134752
JOR,Exports of goods and services (% of GDP),36.54443702
JOR,Trade (% of GDP),95.35791223
JOR,Merchandise exports (current US$),7833000000
JOR,Commercial service exports (current US$),5895352113
KAZ,Imports of goods and services (% of GDP),24.5330208
KAZ,Exports of goods and services (% of GDP),28.51670801
KAZ,Trade (% of GDP),53.04972881
KAZ,Merchandise exports (current US$),45956000000
KAZ,Commercial service exports (current US$),5909424154
KEN,Imports of goods and services (% of GDP),25.19865079
KEN,Exports of goods and services (% of GDP),15.1287339
KEN,Trade (% of GDP),40.32738469
KEN,Merchandise exports (current US$),5906000000
KEN,Commercial service exports (current US$),3708754663
KIR,Imports of goods and services (% of GDP),95.31930039
KIR,Exports of goods and services (% of GDP),13.93315059
KIR,Trade (% of GDP),109.252451
KIR,Merchandise exports (current US$),10000000
KIR,Commercial service exports (current US$),8216345.016
PRK,Imports of goods and services (% of GDP),
PRK,Exports of goods and services (% of GDP),
PRK,Trade (% of GDP),
PRK,Merchandise exports (current US$),4152000000
PRK,Commercial service exports (current US$),
KOR,Imports of goods and services (% of GDP),36.14293286
KOR,Exports of goods and services (% of GDP),42.98956153
KOR,Trade (% of GDP),79.13249439
KOR,Merchandise exports (current US$),5.27E+11
KOR,Commercial service exports (current US$),96443100000
XKX,Imports of goods and services (% of GDP),51.5690494
XKX,Exports of goods and services (% of GDP),22.45139286
XKX,Trade (% of GDP),74.02044225
XKX,Merchandise exports (current US$),
XKX,Commercial service exports (current US$),1018193021
KWT,Imports of goods and services (% of GDP),44.9333335
KWT,Exports of goods and services (% of GDP),53.766258
KWT,Trade (% of GDP),98.69959149
KWT,Merchandise exports (current US$),54122000000
KWT,Commercial service exports (current US$),5466061203
KGZ,Imports of goods and services (% of GDP),75.77197023
KGZ,Exports of goods and services (% of GDP),35.18960049
KGZ,Trade (% of GDP),110.9615707
KGZ,Merchandise exports (current US$),1441000000
KGZ,Commercial service exports (current US$),846019001
LAO,Imports of goods and services (% of GDP),51.8460644
LAO,Exports of goods and services (% of GDP),33.95225731
LAO,Trade (% of GDP),85.7983217
LAO,Merchandise exports (current US$),3653000000
LAO,Commercial service exports (current US$),842980857.9
LVA,Imports of goods and services (% of GDP),62.02398197
LVA,Exports of goods and services (% of GDP),60.27538277
LVA,Trade (% of GDP),122.2993647
LVA,Merchandise exports (current US$),12286000000
LVA,Commercial service exports (current US$),4810324537
LBN,Imports of goods and services (% of GDP),48.69937491
LBN,Exports of goods and services (% of GDP),23.13966773
LBN,Trade (% of GDP),71.83904263
LBN,Merchandise exports (current US$),3982000000
LBN,Commercial service exports (current US$),15678386839
LSO,Imports of goods and services (% of GDP),86.83096937
LSO,Exports of goods and services (% of GDP),42.89180371
LSO,Trade (% of GDP),129.7227731
LSO,Merchandise exports (current US$),929000000
LSO,Commercial service exports (current US$),42818625.3
LBR,Imports of goods and services (% of GDP),
LBR,Exports of goods and services (% of GDP),
LBR,Trade (% of GDP),
LBR,Merchandise exports (current US$),283000000
LBR,Commercial service exports (current US$),4843256.909
LBY,Imports of goods and services (% of GDP),34.67753321
LBY,Exports of goods and services (% of GDP),22.22737412
LBY,Trade (% of GDP),56.90490733
LBY,Merchandise exports (current US$),11392000000
LBY,Commercial service exports (current US$),483000000
LIE,Imports of goods and services (% of GDP),
LIE,Exports of goods and services (% of GDP),
LIE,Trade (% of GDP),
LIE,Merchandise exports (current US$),
LIE,Commercial service exports (current US$),
LTU,Imports of goods and services (% of GDP),69.77467659
LTU,Exports of goods and services (% of GDP),68.77764073
LTU,Trade (% of GDP),138.5523173
LTU,Merchandise exports (current US$),25392000000
LTU,Commercial service exports (current US$),6619597442
LUX,Imports of goods and services (% of GDP),159.2965253
LUX,Exports of goods and services (% of GDP),191.835449
LUX,Trade (% of GDP),351.1319744
LUX,Merchandise exports (current US$),17139000000
LUX,Commercial service exports (current US$),92752421720
MAC,Imports of goods and services (% of GDP),39.9916043
MAC,Exports of goods and services (% of GDP),78.50673324
MAC,Trade (% of GDP),118.4983375
MAC,Merchandise exports (current US$),1339000000
MAC,Commercial service exports (current US$),33406012301
MDG,Imports of goods and services (% of GDP),32.82973271
MDG,Exports of goods and services (% of GDP),28.39064613
MDG,Trade (% of GDP),61.22037884
MDG,Merchandise exports (current US$),2048000000
MDG,Commercial service exports (current US$),1098968678
MWI,Imports of goods and services (% of GDP),
MWI,Exports of goods and services (% of GDP),
MWI,Trade (% of GDP),
MWI,Merchandise exports (current US$),1072000000
MWI,Commercial service exports (current US$),110243841.4
MYS,Imports of goods and services (% of GDP),61.92138155
MYS,Exports of goods and services (% of GDP),69.4486909
MYS,Trade (% of GDP),131.3700724
MYS,Merchandise exports (current US$),2.00E+11
MYS,Commercial service exports (current US$),34841899761
MDV,Imports of goods and services (% of GDP),
MDV,Exports of goods and services (% of GDP),
MDV,Trade (% of GDP),
MDV,Merchandise exports (current US$),240000000
MDV,Commercial service exports (current US$),2897968823
MLI,Imports of goods and services (% of GDP),39.59593117
MLI,Exports of goods and services (% of GDP),24.04370851
MLI,Trade (% of GDP),63.63963969
MLI,Merchandise exports (current US$),2717000000
MLI,Commercial service exports (current US$),405323272.2
MLT,Imports of goods and services (% of GDP),144.8520026
MLT,Exports of goods and services (% of GDP),154.6181556
MLT,Trade (% of GDP),299.4701582
MLT,Merchandise exports (current US$),2607000000
MLT,Commercial service exports (current US$),13470579324
MHL,Imports of goods and services (% of GDP),94.49376558
MHL,Exports of goods and services (% of GDP),44.35735726
MHL,Trade (% of GDP),138.8511228
MHL,Merchandise exports (current US$),52000000
MHL,Commercial service exports (current US$),6492132.856
MRT,Imports of goods and services (% of GDP),47.15164174
MRT,Exports of goods and services (% of GDP),30.19514476
MRT,Trade (% of GDP),77.34678649
MRT,Merchandise exports (current US$),1832000000
MRT,Commercial service exports (current US$),202499614
MUS,Imports of goods and services (% of GDP),55.64812703
MUS,Exports of goods and services (% of GDP),51.49785241
MUS,Trade (% of GDP),107.1459794
